Date,Open,High,Low,Close,Adj Close,Volume
2010-09-13,18336000.000000,18336000.000000,16920000.000000,17059200.000000,15002499.000000,1
2010-09-14,17174400.000000,17616000.000000,15796800.000000,16161600.000000,14213117.000000,1
2010-09-15,16497600.000000,16896000.000000,16204800.000000,16334400.000000,14365083.000000,0
2010-09-16,16507200.000000,16684800.000000,15844800.000000,15921600.000000,14002051.000000,0
2010-09-17,15724800.000000,16156800.000000,15609600.000000,15897600.000000,13980945.000000,0
2010-09-20,15921600.000000,16368000.000000,15604800.000000,15686400.000000,13795208.000000,1
2010-09-21,15595200.000000,15974400.000000,15412800.000000,15758400.000000,13858528.000000,0
2010-09-22,16166400.000000,16800000.000000,15878400.000000,16420800.000000,14441066.000000,1
2010-09-23,17049600.000000,17232000.000000,15259200.000000,16113600.000000,14170904.000000,0
2010-09-24,15422400.000000,15422400.000000,14121600.000000,14160000.000000,12452834.000000,1
2010-09-27,14083200.000000,14611200.000000,14044800.000000,14424000.000000,12685005.000000,0
2010-09-28,14395200.000000,14841600.000000,13651200.000000,13713600.000000,12060253.000000,1
2010-09-29,14020800.000000,14020800.000000,13147200.000000,13478400.000000,11853411.000000,0
2010-09-30,13224000.000000,14121600.000000,12950400.000000,13723200.000000,12068695.000000,0
2010-10-01,13569600.000000,14179200.000000,13305600.000000,13872000.000000,12199556.000000,0
2010-10-04,13944000.000000,14894400.000000,13934400.000000,14462400.000000,12718777.000000,0
2010-10-05,14131200.000000,14136000.000000,13411200.000000,13603200.000000,11963161.000000,0
2010-10-06,13579200.000000,14457600.000000,13512000.000000,14131200.000000,12427505.000000,0
2010-10-07,13915200.000000,14414400.000000,13795200.000000,13948800.000000,12267097.000000,0
2010-10-08,14203200.000000,14505600.000000,13449600.000000,13574400.000000,11937837.000000,0
2010-10-11,13440000.000000,13492800.000000,12892800.000000,13238400.000000,11642345.000000,0
2010-10-12,13416000.000000,13641600.000000,12811200.000000,12969600.000000,11405951.000000,0
2010-10-13,12849600.000000,13281600.000000,12705600.000000,12907200.000000,11351075.000000,0
2010-10-14,12864000.000000,13219200.000000,12638400.000000,13012800.000000,11443944.000000,0
2010-10-15,12758400.000000,13305600.000000,12628800.000000,12777600.000000,11237100.000000,0
2010-10-18,12772800.000000,13315200.000000,12772800.000000,13012800.000000,11443944.000000,0
2010-10-19,13608000.000000,13920000.000000,12873600.000000,13545600.000000,11912507.000000,0
2010-10-20,13536000.000000,13819200.000000,13123200.000000,13329600.000000,11722549.000000,0
2010-10-21,13209600.000000,13872000.000000,13185600.000000,13507200.000000,11878738.000000,0
2010-10-22,13473600.000000,13473600.000000,12628800.000000,12734400.000000,11199109.000000,0
2010-10-25,12513600.000000,12513600.000000,12076800.000000,12292800.000000,10810748.000000,0
2010-10-26,12480000.000000,12840000.000000,12288000.000000,12446400.000000,10945831.000000,0
2010-10-27,12403200.000000,12412800.000000,11280000.000000,11294400.000000,9932717.000000,1
2010-10-28,11328000.000000,11688000.000000,11203200.000000,11280000.000000,9920056.000000,1
2010-10-29,11380800.000000,11380800.000000,10968000.000000,11059200.000000,9725873.000000,0
2010-11-01,10958400.000000,11414400.000000,10828800.000000,11174400.000000,9827186.000000,0
2010-11-02,10857600.000000,11112000.000000,10780800.000000,10963200.000000,9641449.000000,0
